vrsta;naziv;sifra;marka;jedinica_mjere;cijena_za_jedinicu_mjere_eur;maloprodajna_cijena_eur;poseban_oblik_prodaje;naziv_posebnog_oblika_prodaje;sidrena_cijena_eur;barkod;dostupnost;datum_sidrene_cijene;datum_i_vrijeme_cjenikaproizvod;BrushBlender&co. - sapun za pranje spužvica i četkica - 60 gr;;ndg makeup;;;10.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;Y češljić;;ndg makeup;;;2.0;da;Sniženje;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;Četkica za čiščenje trepavica;;ndg makeup;;;1.5;da;Sniženje;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;E10 spoolie za obrve i kosa četkica;;ndg makeup;;;5.0;ne;;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;Igla za izolaciju trepavica - Bijela;;ndg makeup;;;5.0;da;Sniženje;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;Igla za izolaciju trepavica - Crna;;ndg makeup;;;5.0;da;Sniženje;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;NDG makeup web shop poklon bon - €10.00;;ndg makeup;;;10.0;ne;;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;NDG makeup web shop poklon bon - €25.00;;ndg makeup;;;25.0;ne;;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;NDG makeup web shop poklon bon - €50.00;;ndg makeup;;;50.0;ne;;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;NDG makeup web shop poklon bon - €100.00;;ndg makeup;;;100.0;ne;;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;Set četkica za lice;;ndg makeup;;;30.0;da;Sniženje;25.5;;nedostupno;10.09.2026.;25.09.2026 06:38
proizvod;Full face set četkica;;ndg makeup;;;70.0;da;Sniženje;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;Set od 11 četkica za oči;;ndg makeup;;;40.0;da;Sniženje;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;Set blenderica za oči;;ndg makeup;;;20.0;da;Sniženje;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;Set preciznih četkica za oči;;ndg makeup;;;15.0;da;Sniženje;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. sapun + zaštitne mrežice za četkice - 60 gr;;ndg makeup;;;12.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. sapun + zaštitne mrežice za četkice - 100 gr;;ndg makeup;;;16.0;ne;;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. sapun + makeup blender - 60 gr;;ndg makeup;;;14.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. sapun + makeup blender - 100 gr;;ndg makeup;;;18.0;ne;;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN - 60 gr / 250 ml;;ndg makeup;;;26.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
